Ao,Entidad,Clave_Ent,Poblacion
2015,Aguascalientes,1,1331825
2016,Aguascalientes,1,1355321
2017,Aguascalientes,1,1375782
2018,Aguascalientes,1,1395794
2019,Aguascalientes,1,1415421
2020,Aguascalientes,1,1434635
2021,Aguascalientes,1,1453452
2022,Aguascalientes,1,1471859
2023,Aguascalientes,1,1489875
2015,Baja California,2,3357794
2016,Baja California,2,3403335
2017,Baja California,2,3462872
2018,Baja California,2,3521242
2019,Baja California,2,3578561
2020,Baja California,2,3634868
2021,Baja California,2,3690160
2022,Baja California,2,3744415
2023,Baja California,2,3797610
2015,Baja California Sur,3,719846
2016,Baja California Sur,3,736995
2017,Baja California Sur,3,754270
2018,Baja California Sur,3,771294
2019,Baja California Sur,3,788119
2020,Baja California Sur,3,804708
2021,Baja California Sur,3,821059
2022,Baja California Sur,3,837168
2023,Baja California Sur,3,853026
2015,Campeche,4,916832
2016,Campeche,4,933436
2017,Campeche,4,950458
2018,Campeche,4,967319
2019,Campeche,4,984046
2020,Campeche,4,1000617
2021,Campeche,4,1017011
2022,Campeche,4,1033223
2023,Campeche,4,1049244
2015,Coahuila,5,3000556
2016,Coahuila,5,3043062
2017,Coahuila,5,3087852
2018,Coahuila,5,3132017
2019,Coahuila,5,3175643
2020,Coahuila,5,3218720
2021,Coahuila,5,3261259
2022,Coahuila,5,3303220
2023,Coahuila,5,3344621
2015,Colima,6,721696
2016,Colima,6,734663
2017,Colima,6,747603
2018,Colima,6,760333
2019,Colima,6,772842
2020,Colima,6,785153
2021,Colima,6,797245
2022,Colima,6,809115
2023,Colima,6,820771
2015,Chiapas,7,5307819
2016,Chiapas,7,5393944
2017,Chiapas,7,5479352
2018,Chiapas,7,5563869
2019,Chiapas,7,5647532
2020,Chiapas,7,5730367
2021,Chiapas,7,5812375
2022,Chiapas,7,5893520
2023,Chiapas,7,5973838
2015,Chihuahua,8,3616481
2016,Chihuahua,8,3649416
2017,Chihuahua,8,3689398
2018,Chihuahua,8,3727984
2019,Chihuahua,8,3765325
2020,Chihuahua,8,3801487
2021,Chihuahua,8,3836506
2022,Chihuahua,8,3870381
2023,Chihuahua,8,3903129
2015,Ciudad de M?xico,9,9058734
2016,Ciudad de M?xico,9,9053990
2017,Ciudad de M?xico,9,9049086
2018,Ciudad de M?xico,9,9041395
2019,Ciudad de M?xico,9,9031213
2020,Ciudad de M?xico,9,9018645
2021,Ciudad de M?xico,9,9003827
2022,Ciudad de M?xico,9,8986774
2023,Ciudad de M?xico,9,8967558
2015,Durango,10,1781575
2016,Durango,10,1801963
2017,Durango,10,1819494
2018,Durango,10,1836460
2019,Durango,10,1852952
2020,Durango,10,1868996
2021,Durango,10,1884622
2022,Durango,10,1899856
2023,Durango,10,1914693
2015,Guanajuato,11,5930618
2016,Guanajuato,11,5997487
2017,Guanajuato,11,6058569
2018,Guanajuato,11,6117205
2019,Guanajuato,11,6173718
2020,Guanajuato,11,6228175
2021,Guanajuato,11,6280645
2022,Guanajuato,11,6331142
2023,Guanajuato,11,6379677
2015,Guerrero,12,3576592
2016,Guerrero,12,3597311
2017,Guerrero,12,3614241
2018,Guerrero,12,3629733
2019,Guerrero,12,3643974
2020,Guerrero,12,3657048
2021,Guerrero,12,3668973
2022,Guerrero,12,3679821
2023,Guerrero,12,3689597
2015,Hidalgo,13,2899495
2016,Hidalgo,13,2938756
2017,Hidalgo,13,2976979
2018,Hidalgo,13,3014258
2019,Hidalgo,13,3050720
2020,Hidalgo,13,3086414
2021,Hidalgo,13,3121355
2022,Hidalgo,13,3155581
2023,Hidalgo,13,3189102
2015,Jalisco,14,7963314
2016,Jalisco,14,8055955
2017,Jalisco,14,8149170
2018,Jalisco,14,8238991
2019,Jalisco,14,8325800
2020,Jalisco,14,8409693
2021,Jalisco,14,8490806
2022,Jalisco,14,8569204
2023,Jalisco,14,8644920
2015,M?xico,15,16453628
2016,M?xico,15,16658503
2017,M?xico,15,16861082
2018,M?xico,15,17056666
2019,M?xico,15,17245551
2020,M?xico,15,17427790
2021,M?xico,15,17603429
2022,M?xico,15,17772460
2023,M?xico,15,17934893
2015,Michoac?n,16,4644732
2016,Michoac?n,16,4684829
2017,Michoac?n,16,4721848
2018,Michoac?n,16,4757482
2019,Michoac?n,16,4791977
2020,Michoac?n,16,4825401
2021,Michoac?n,16,4857777
2022,Michoac?n,16,4889123
2023,Michoac?n,16,4919448
2015,Morelos,17,1930505
2016,Morelos,17,1954717
2017,Morelos,17,1977946
2018,Morelos,17,2000527
2019,Morelos,17,2022568
2020,Morelos,17,2044058
2021,Morelos,17,2065014
2022,Morelos,17,2085423
2023,Morelos,17,2105291
2015,Nayarit,18,1195482
2016,Nayarit,18,1214627
2017,Nayarit,18,1233716
2018,Nayarit,18,1252363
2019,Nayarit,18,1270646
2020,Nayarit,18,1288571
2021,Nayarit,18,1306145
2022,Nayarit,18,1323404
2023,Nayarit,18,1340345
2015,Nuevo Le?n,19,5205425
2016,Nuevo Le?n,19,5294203
2017,Nuevo Le?n,19,5375246
2018,Nuevo Le?n,19,5454848
2019,Nuevo Le?n,19,5533147
2020,Nuevo Le?n,19,5610153
2021,Nuevo Le?n,19,5685888
2022,Nuevo Le?n,19,5760358
2023,Nuevo Le?n,19,5833569
2015,Oaxaca,20,4019224
2016,Oaxaca,20,4046494
2017,Oaxaca,20,4072328
2018,Oaxaca,20,4096998
2019,Oaxaca,20,4120741
2020,Oaxaca,20,4143593
2021,Oaxaca,20,4165619
2022,Oaxaca,20,4186832
2023,Oaxaca,20,4207237
2015,Puebla,21,6274482
2016,Puebla,21,6345952
2017,Puebla,21,6413391
2018,Puebla,21,6478819
2019,Puebla,21,6542484
2020,Puebla,21,6604451
2021,Puebla,21,6664764
2022,Puebla,21,6723431
2023,Puebla,21,6780465
2015,Quer?taro,22,2069556
2016,Quer?taro,22,2113731
2017,Quer?taro,22,2156167
2018,Quer?taro,22,2197938
2019,Quer?taro,22,2239112
2020,Quer?taro,22,2279637
2021,Quer?taro,22,2319537
2022,Quer?taro,22,2358758
2023,Quer?taro,22,2397293
2015,Quintana Roo,23,1524873
2016,Quintana Roo,23,1564920
2017,Quintana Roo,23,1605362
2018,Quintana Roo,23,1645237
2019,Quintana Roo,23,1684541
2020,Quintana Roo,23,1723259
2021,Quintana Roo,23,1761389
2022,Quintana Roo,23,1798913
2023,Quintana Roo,23,1835796
2015,San Luis Potos?,24,2758239
2016,San Luis Potos?,24,2781457
2017,San Luis Potos?,24,2803692
2018,San Luis Potos?,24,2825157
2019,San Luis Potos?,24,2845959
2020,San Luis Potos?,24,2866142
2021,San Luis Potos?,24,2885705
2022,San Luis Potos?,24,2904652
2023,San Luis Potos?,24,2922963
2015,Sinaloa,25,3015790
2016,Sinaloa,25,3049383
2017,Sinaloa,25,3077430
2018,Sinaloa,25,3104610
2019,Sinaloa,25,3131012
2020,Sinaloa,25,3156674
2021,Sinaloa,25,3181609
2022,Sinaloa,25,3205838
2023,Sinaloa,25,3229357
2015,Sonora,26,2884754
2016,Sonora,26,2922666
2017,Sonora,26,2961810
2018,Sonora,26,3000127
2019,Sonora,26,3037752
2020,Sonora,26,3074745
2021,Sonora,26,3111119
2022,Sonora,26,3146894
2023,Sonora,26,3182072
2015,Tabasco,27,2426269
2016,Tabasco,27,2457373
2017,Tabasco,27,2486932
2018,Tabasco,27,2515926
2019,Tabasco,27,2544372
2020,Tabasco,27,2572287
2021,Tabasco,27,2599658
2022,Tabasco,27,2626490
2023,Tabasco,27,2652789
2015,Tamaulipas,28,3494719
2016,Tamaulipas,28,3527104
2017,Tamaulipas,28,3559268
2018,Tamaulipas,28,3590486
2019,Tamaulipas,28,3620910
2020,Tamaulipas,28,3650602
2021,Tamaulipas,28,3679623
2022,Tamaulipas,28,3708008
2023,Tamaulipas,28,3735776
2015,Tlaxcala,29,1295194
2016,Tlaxcala,29,1314415
2017,Tlaxcala,29,1331372
2018,Tlaxcala,29,1347932
2019,Tlaxcala,29,1364147
2020,Tlaxcala,29,1380011
2021,Tlaxcala,29,1395545
2022,Tlaxcala,29,1410744
2023,Tlaxcala,29,1425604
2015,Veracruz,30,8241248
2016,Veracruz,30,8316599
2017,Veracruz,30,8376971
2018,Veracruz,30,8434163
2019,Veracruz,30,8488447
2020,Veracruz,30,8539862
2021,Veracruz,30,8588469
2022,Veracruz,30,8634299
2023,Veracruz,30,8677408
2015,Yucat?n,31,2128802
2016,Yucat?n,31,2155883
2017,Yucat?n,31,2182255
2018,Yucat?n,31,2208236
2019,Yucat?n,31,2233866
2020,Yucat?n,31,2259098
2021,Yucat?n,31,2283943
2022,Yucat?n,31,2308370
2023,Yucat?n,31,2332395
2015,Zacatecas,32,1601701
2016,Zacatecas,32,1616675
2017,Zacatecas,32,1629789
2018,Zacatecas,32,1642388
2019,Zacatecas,32,1654593
2020,Zacatecas,32,1666426
2021,Zacatecas,32,1677911
2022,Zacatecas,32,1689080
2023,Zacatecas,32,1699893
